PID,PI_S1_R3_20_5_A,PI_S1_R3_I31_7_A,PI_S1_R3_14_1_A,PI_S1_R2_6_1_E,PI_S1_R2_7_2_E,PI_S1_R2_9_2_E,PI_S1_R3_I23_3_J,PI_S1_R3_I23_3_E,PI_S1_R2_10_1_E,PI_S1_R3_I24_3_E,PI_S1_R3_I26_2_A,PI_S1_R2_13_1_J,PI_S1_R3_3_3_A,PI_S1_R3_I41_2_E,PI_S1_R3_4_2_E,PI_S1_R2_14_1_J,PI_S1_R3_15_2_E,PI_S1_R3_3_2_A,manipulation_check_1,PII_S2_R3_I40_3_E,PII_S2_R3_4_1_A,PII_S2_R3_5_4_E,PII_S2_R3_20_3_E,PII_S2_R3_I33_1_A,PII_S2_R3_17_2_A,PII_S2_R3_22_3_E,PII_S2_R2_8_2_E,PII_S2_R2_21_3_J,PII_S2_R3_13_2_E,PII_S2_R3_I30_2_A,PII_S2_R3_10_3_J,PII_S2_R3_5_7_E,PII_S2_R3_13_2_J,PII_S2_R3_6_2_A,PII_S2_R3_I40_1_A,PII_S2_R3_2_1_A,PII_S2_R3_I23_2_J,manipulation_check_2,PIII_S3_R2_20_1_J,PIII_S3_R3_12_2_E,PIII_S3_R3_I35_2_E,PIII_S3_R3_I32_3_A,PIII_S3_R3_24_3_A,PIII_S3_R2_6_2_E,PIII_S3_R3_I26_1_A,PIII_S3_R3_11_5_A,PIII_S3_R3_I38_4_E,PIII_S3_R3_5_6_E,PIII_S3_R3_19_3_E,PIII_S3_R3_10_3_E,PIII_S3_R3_16_1_A,PIII_S3_R3_6_1_J,PIII_S3_R3_I36_6_A,PIII_S3_R3_5_1_J,PIII_S3_R3_6_2_E,PIII_S3_R3_12_1_J,manipulation_check_3,PII_S3_R2_20_1_J,PII_S3_R3_12_2_E,PII_S3_R3_I35_2_E,PII_S3_R3_I32_3_A,PII_S3_R3_24_3_A,PII_S3_R2_6_2_E,PII_S3_R3_I26_1_A,PII_S3_R3_11_5_A,PII_S3_R3_I38_4_E,PII_S3_R3_5_6_E,PII_S3_R3_19_3_E,PII_S3_R3_10_3_E,PII_S3_R3_16_1_A,PII_S3_R3_6_1_J,PII_S3_R3_I36_6_A,PII_S3_R3_5_1_J,PII_S3_R3_6_2_E,PII_S3_R3_12_1_J,manipulation_check_3,PIII_S2_R3_I40_3_E,PIII_S2_R3_4_1_A,PIII_S2_R3_5_4_E,PIII_S2_R3_20_3_E,PIII_S2_R3_I33_1_A,PIII_S2_R3_17_2_A,PIII_S2_R3_22_3_E,PIII_S2_R2_8_2_E,PIII_S2_R2_21_3_J,PIII_S2_R3_13_2_E,PIII_S2_R3_I30_2_A,PIII_S2_R3_10_3_J,PIII_S2_R3_5_7_E,PIII_S2_R3_13_2_J,PIII_S2_R3_6_2_A,PIII_S2_R3_I40_1_A,PIII_S2_R3_2_1_A,PIII_S2_R3_I23_2_J,manipulation_check_2,PI_S2_R3_I40_3_E,PI_S2_R3_4_1_A,PI_S2_R3_5_4_E,PI_S2_R3_20_3_E,PI_S2_R3_I33_1_A,PI_S2_R3_17_2_A,PI_S2_R3_22_3_E,PI_S2_R2_8_2_E,PI_S2_R2_21_3_J,PI_S2_R3_13_2_E,PI_S2_R3_I30_2_A,PI_S2_R3_10_3_J,PI_S2_R3_5_7_E,PI_S2_R3_13_2_J,PI_S2_R3_6_2_A,PI_S2_R3_I40_1_A,PI_S2_R3_2_1_A,PI_S2_R3_I23_2_J,manipulation_check_2,PII_S1_R3_20_5_A,PII_S1_R3_I31_7_A,PII_S1_R3_14_1_A,PII_S1_R2_6_1_E,PII_S1_R2_7_2_E,PII_S1_R2_9_2_E,PII_S1_R3_I23_3_J,PII_S1_R3_I23_3_E,PII_S1_R2_10_1_E,PII_S1_R3_I24_3_E,PII_S1_R3_I26_2_A,PII_S1_R2_13_1_J,PII_S1_R3_3_3_A,PII_S1_R3_I41_2_E,PII_S1_R3_4_2_E,PII_S1_R2_14_1_J,PII_S1_R3_15_2_E,PII_S1_R3_3_2_A,manipulation_check_1,PIII_S1_R3_20_5_A,PIII_S1_R3_I31_7_A,PIII_S1_R3_14_1_A,PIII_S1_R2_6_1_E,PIII_S1_R2_7_2_E,PIII_S1_R2_9_2_E,PIII_S1_R3_I23_3_J,PIII_S1_R3_I23_3_E,PIII_S1_R2_10_1_E,PIII_S1_R3_I24_3_E,PIII_S1_R3_I26_2_A,PIII_S1_R2_13_1_J,PIII_S1_R3_3_3_A,PIII_S1_R3_I41_2_E,PIII_S1_R3_4_2_E,PIII_S1_R2_14_1_J,PIII_S1_R3_15_2_E,PIII_S1_R3_3_2_A,manipulation_check_1,PI_S3_R2_20_1_J,PI_S3_R3_12_2_E,PI_S3_R3_I35_2_E,PI_S3_R3_I32_3_A,PI_S3_R3_24_3_A,PI_S3_R2_6_2_E,PI_S3_R3_I26_1_A,PI_S3_R3_11_5_A,PI_S3_R3_I38_4_E,PI_S3_R3_5_6_E,PI_S3_R3_19_3_E,PI_S3_R3_10_3_E,PI_S3_R3_16_1_A,PI_S3_R3_6_1_J,PI_S3_R3_I36_6_A,PI_S3_R3_5_1_J,PI_S3_R3_6_2_E,PI_S3_R3_12_1_J,manipulation_check_3,education,field,field_6_TEXT,gender,gender_5_TEXT,birth_year,location,info_search,info_search_service,chatbots,social_orientation_1,social_orientation_2
86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,,,TRANSLATED,ORIGINAL,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,,ORIGINAL,,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,,TRANSLATED,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Male,,1978,"Oklahoma City, OK",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Somewhat agree
87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,TRANSLATED,ORIGINAL,,,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,NONE,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Doctoral degree,Arts and Humanities,,Male,,1971,Boston MA,Yes,Three,Five or above,Disagree,Disagree
88,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,,ORIGINAL,NONE,ORIGINAL,ORIGINAL,,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,ORIGINAL,,,TRANSLATED,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,I don't know,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Female,,1995,Pennsylvania ,Yes,I have never used assistance services when traveling,Five or above,Somewhat agree,Somewhat agree
89,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,NONE,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,NONE,,,,I don't know,TRANSLATED,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,NONE,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),STEM,,Male,,2000,"Sacramento, California",Yes,One,Five or above,Neither agree nor disagree,Neither agree nor disagree
90,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,,,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,I don't know,,ORIGINAL,,,ORIGINAL,,,TRANSLATED,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,I don't know,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1968,"Bloomsburg, PA",Yes,Five or above,Five or above,Agree,Agree
91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,TRANSLATED,,,,,ORIGINAL,,TRANSLATED,TRANSLATED,,,ORIGINAL,"[Tourist Assistant Chatbot:] Flagstaff is a city located in Arizona, USA, that receives around 5 million visitors per year. Dear participant, it's important to pay attention to the study. This is an attention check question, please select the 'I don't know' option and ignore the rest of the paragraph. If you are visiting Flagstaff, stop by at the visitor center for more touristic information.",,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,TRANSLATED,,TRANSLATED,,TRANSLATED,ORIGINAL,ORIGINAL,,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,Associate degree in college (2-year),STEM,,Male,,1995,South carolina,Yes,Five or above,Five or above,Strongly Agree,Strongly Agree
92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,,,TRANSLATED,,,,,TRANSLATED,ORIGINAL,,,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,TRANSLATED,,TRANSLATED,,,TRANSLATED,,ORIGINAL,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,Some college but no degree,Other:,,Female,,1993,"Houston, TX",Yes,I have never used assistance services when traveling,Two,Somewhat agree,Neither agree nor disagree
93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,TRANSLATED,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,TRANSLATED,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,,,TRANSLATED,,TRANSLATED,TRANSLATED,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),STEM,,Male,,2000,St.Petersburg Florida,Yes,I have never used assistance services when traveling,Two,Somewhat agree,Somewhat agree
94,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,,ORIGINAL,,TRANSLATED,,ORIGINAL,,TRANSLATED,I don't know,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,,I don't know,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Female,,1992,"Lowell, MA",Yes,I have never used assistance services when traveling,I have never interacted with chatbots,Somewhat agree,Somewhat agree
95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,ORIGINAL,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,,TRANSLATED,TRANSLATED,,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,,,TRANSLATED,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,,,TRANSLATED,TRANSLATED,I don't know,High school graduate (high school diploma or equivalent including GED),Health and Biological Sciences,,Female,,1947,Kentucky,No,Three,Five or above,Somewhat agree,Agree
96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,,TRANSLATED,TRANSLATED,ORIGINAL,,,TRANSLATED,TRANSLATED,,TRANSLATED,,ORIGINAL,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,TRANSLATED,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,TRANSLATED,ORIGINAL,ORIGINAL,,,,TRANSLATED,,I don't know,ORIGINAL,,ORIGINAL,,,NONE,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1989,"Brooklyn, New York ",Yes,Five or above,Five or above,Somewhat agree,Agree
97,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,TRANSLATED,TRANSLATED,ORIGINAL,ORIGINAL,,,,TRANSLATED,ORIGINAL,ORIGINAL,,TRANSLATED,I don't know,,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),Arts and Humanities,,Female,,1981,"Amarillo, TX",Yes,,I have never interacted with chatbots,Somewhat disagree,Disagree
98,,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,NONE,ORIGINAL,ORIGINAL,,TRANSLATED,,ORIGINAL,,ORIGINAL,,TRANSLATED,,I don't know,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Male,,2001,Minnesota,Yes,,,Somewhat agree,Neither agree nor disagree
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,TRANSLATED,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,TRANSLATED,,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,,TRANSLATED,,TRANSLATED,,ORIGINAL,I don't know,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,Arts and Humanities,,Male,,1967,"Petersburg, Virginia",Yes,I have never used assistance services when traveling,Five or above,Somewhat disagree,Neither agree nor disagree
100,TRANSLATED,,,ORIGINAL,NONE,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,,,,,ORIGINAL,TRANSLATED,,I don't know,NONE,TRANSLATED,NONE,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,ORIGINAL,I don't know,,ORIGINAL,ORIGINAL,NONE,ORIGINAL,,,,ORIGINAL,NONE,,,ORIGINAL,,ORIGINAL,,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),STEM,,Male,,1987,"Sauk Rapids, MN",Yes,Three,,Neither agree nor disagree,Neither agree nor disagree
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,I don't know,,,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,,,TRANSLATED,,ORIGINAL,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),Arts and Humanities,,Male,,1995,Mobile Alabama USA,Yes,I have never used assistance services when traveling,Five or above,Agree,Agree
102,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,,TRANSLATED,I don't know,ORIGINAL,ORIGINAL,,,,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,,TRANSLATED,NONE,ORIGINAL,ORIGINAL,I don't know,ORIGINAL,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,ORIGINAL,,TRANSLATED,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Other:,retail,Female,,1982,"Sharon, Pa",Yes,I have never used assistance services when traveling,Three,Strongly disagree,Somewhat disagree
103,ORIGINAL,,TRANSLATED,,ORIGINAL,,TRANSLATED,TRANSLATED,,ORIGINAL,,,,,TRANSLATED,,TRANSLATED,ORIGINAL,I don't know,,,,,ORIGINAL,,,ORIGINAL,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,TRANSLATED,TRANSLATED,I don't know,,ORIGINAL,ORIGINAL,ORIGINAL,,TRANSLATED,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,TRANSLATED,,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bachelor's degree in college (4-year),Arts and Humanities,,Male,,1990,"Illinois, USA",Yes,Five or above,Five or above,Agree,Agree
104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,ORIGINAL,,,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,ORIGINAL,,,TRANSLATED,,,,,,ORIGINAL,ORIGINAL,TRANSLATED,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,TRANSLATED,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,,ORIGINAL,,,,I don't know,Bachelor's degree in college (4-year),"Law, Economics, and Management",,Male,,1981,"Wilmington, Delaware",Yes,I have never used assistance services when traveling,Five or above,Disagree,Disagree
105,,,ORIGINAL,ORIGINAL,,ORIGINAL,,,ORIGINAL,,ORIGINAL,,ORIGINAL,TRANSLATED,ORIGINAL,ORIGINAL,,,I don't know,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,,,ORIGINAL,,ORIGINAL,,I don't know,TRANSLATED,,,ORIGINAL,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,,,,ORIGINAL,,TRANSLATED,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High school graduate (high school diploma or equivalent including GED),STEM,,Male,,2000,Maryland,Yes,,Two,Disagree,Neither agree nor disagree
106,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,ORIGINAL,,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,,ORIGINAL,,,ORIGINAL,TRANSLATED,,TRANSLATED,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,,ORIGINAL,,,,ORIGINAL,ORIGINAL,ORIGINAL,NONE,ORIGINAL,ORIGINAL,,,ORIGINAL,,,,I don't know,Bachelor's degree in college (4-year),Arts and Humanities,,Male,,1992,Nebraska,Yes,I have never used assistance services when traveling,Three,Disagree,Somewhat disagree
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,,,TRANSLATED,TRANSLATED,,,ORIGINAL,,TRANSLATED,,,I don't know,,,,,,,,,,,,,,,,,,,,NONE,ORIGINAL,,ORIGINAL,,TRANSLATED,,ORIGINAL,,,,TRANSLATED,,TRANSLATED,,ORIGINAL,,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,ORIGINAL,ORIGINAL,,,,,ORIGINAL,ORIGINAL,,,ORIGINAL,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,"Professional degree (JD, MD)",Health and Biological Sciences,,Male,,1988,"Philadelphia, PA",Yes,Two,Three,Strongly disagree,Somewhat disagree
108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,TRANSLATED,,,,TRANSLATED,,,TRANSLATED,ORIGINAL,,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,ORIGINAL,,I don't know,,,,,,,,,,,,,,,,,,,,,ORIGINAL,TRANSLATED,ORIGINAL,,,TRANSLATED,ORIGINAL,,,TRANSLATED,,,,,ORIGINAL,ORIGINAL,TRANSLATED,I don't know,,,,,,,,,,,,,,,,,,,,TRANSLATED,TRANSLATED,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,ORIGINAL,TRANSLATED,,TRANSLATED,,,,,I don't know,Bachelor's degree in college (4-year),Social & Behavioral Sciences,,Female,,1994,San Diego,Yes,Four,I have never interacted with chatbots,Neither agree nor disagree,Neither agree nor disagree
109,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,,,TRANSLATED,ORIGINAL,,ORIGINAL,,,,ORIGINAL,ORIGINAL,TRANSLATED,,ORIGINAL,ORIGINAL,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ORIGINAL,,ORIGINAL,,,,TRANSLATED,ORIGINAL,ORIGINAL,TRANSLATED,,,ORIGINAL,,,TRANSLATED,ORIGINAL,,I don't know,,ORIGINAL,,,TRANSLATED,ORIGINAL,,ORIGINAL,ORIGINAL,,,,ORIGINAL,,,TRANSLATED,ORIGINAL,TRANSLATED,I don't know,Bachelor's degree in college (4-year),Arts and Humanities,,Female,,1990,"Albuquerque, NM",Yes,Five or above,,Somewhat agree,Disagree
110,,ORIGINAL,,TRANSLATED,ORIGINAL,ORIGINAL,,ORIGINAL,,ORIGINAL,ORIGINAL,NONE,,,NONE,,,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NONE,ORIGINAL,ORIGINAL,TRANSLATED,,,,,,,TRANSLATED,ORIGINAL,,ORIGINAL,NONE,,TRANSLATED,,I don't know,,,,ORIGINAL,ORIGINAL,,ORIGINAL,ORIGINAL,,TRANSLATED,ORIGINAL,,ORIGINAL,,TRANSLATED,,TRANSLATED,,I don't know,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Some college but no degree,STEM,,Non-binary,,1978,"Lebanon, ME",Yes,I have never used assistance services when traveling,,Neither agree nor disagree,Neither agree nor disagree
